street_clean,city_clean,State,Zip,price,bedrooms,baths_label,bed_bath,sqft_living,price_per_sqft,lot_acres,waterfront_flag,basement_flag,view_label,condition_label,home_age,yr_renovated,years_since_update,floors,date,bathrooms,sqft_total_check,sqft_lot,waterfront,view,condition,sqft_above,sqft_basement,yr_built,street,city,statezip
26133 242Nd Ave Se,Maple Valley,WA,98038,"$274,500",3,2 1/4,3 bd | 2.25 ba,"1,450",$189,0,No,No,None,Average,15,0,15,2,7/2/2014,2.25,"1,450","4,050",0,0,3,"1,450",0,2010,26133 242nd Ave SE,Maple Valley,WA 98038
44400 Se 159Th St,North Bend,WA,98045,"$274,333",3,2 1/4,3 bd | 2.25 ba,"1,780",$154,4,No,No,Good,Average,37,2000,25,2,5/8/2014,2.25,"1,780","191,228",0,2,3,"1,780",0,1988,44400 SE 159th St,North Bend,WA 98045
14608 Se 195Th Pl,Renton,WA,98058,"$272,500",3,2  ,3 bd | 2. ba,"1,410",$193,0,No,No,None,Good,42,0,42,1,6/3/2014,2.00,"1,410","7,622",0,0,4,"1,410",0,1983,14608 SE 195th Pl,Renton,WA 98058
5002 S 299Th Pl,Auburn,WA,98001,"$272,000",3,2  ,3 bd | 2. ba,"1,380",$197,0,No,No,None,Average,36,0,36,1,6/17/2014,2.00,"1,380","7,476",0,0,3,"1,380",0,1989,5002 S 299th Pl,Auburn,WA 98001
2019 24Th Ave S,Seattle,WA,98144,"$271,310",2,1  ,2 bd | 1. ba,870,$312,0,No,No,None,Fair,119,0,119,1.5,5/20/2014,1.00,870,"5,340",0,0,2,870,0,1906,2019 24th Ave S,Seattle,WA 98144
36816 55Th Ave S,Auburn,WA,98001,"$270,000",2,1  ,2 bd | 1. ba,"1,780",$152,2,No,No,Great,Good,71,1979,46,1,6/26/2014,1.00,"1,780","81,021",0,3,4,"1,780",0,1954,36816 55th Ave S,Auburn,WA 98001
2820 V Ct Se,Auburn,WA,98002,"$270,000",4,2 3/4,4 bd | 2.75 ba,"1,990",$136,0,No,Yes,None,Average,26,0,26,1,6/9/2014,2.75,"1,990","7,252",0,0,3,"1,270",720,1999,2820 V Ct SE,Auburn,WA 98002
5307-5311 Quincy Ave Se,Auburn,WA,98092,"$270,000",4,2 1/2,4 bd | 2.5 ba,"1,920",$141,0,No,No,None,Average,27,2006,19,2,6/2/2014,2.50,"1,920","8,497",0,0,3,"1,920",0,1998,5307-5311 Quincy Ave SE,Auburn,WA 98092
13405 5Th Ave Sw,Burien,WA,98146,"$270,000",3,1 1/2,3 bd | 1.5 ba,"1,890",$143,0,No,Yes,None,Average,68,2000,25,1,6/5/2014,1.50,"1,890","9,450",0,0,3,"1,090",800,1957,13405 5th Ave SW,Burien,WA 98146
19223 Se 259Th Pl,Covington,WA,98042,"$270,000",3,2 1/2,3 bd | 2.5 ba,"1,670",$162,0,No,Yes,None,Good,35,0,35,1,6/25/2014,2.50,"1,670","8,364",0,0,4,"1,300",370,1990,19223 SE 259th Pl,Covington,WA 98042
25139 11Th Ave S,Des Moines,WA,98198,"$270,000",4,2 1/2,4 bd | 2.5 ba,"1,660",$163,0,No,No,None,Good,47,2000,25,1,7/9/2014,2.50,"1,660","8,063",0,0,4,"1,660",0,1978,25139 11th Ave S,Des Moines,WA 98198
32624 39Th Pl Sw,Federal Way,WA,98023,"$270,000",4,2 1/4,4 bd | 2.25 ba,"1,900",$142,0,No,No,None,Good,50,0,50,1,6/6/2014,2.25,"1,900","8,600",0,0,4,"1,900",0,1975,32624 39th Pl SW,Federal Way,WA 98023
20442 137Th Ave Se,Kent,WA,98042,"$270,000",3,2 1/4,3 bd | 2.25 ba,"2,080",$130,0,No,Yes,None,Average,22,0,22,1.5,6/4/2014,2.25,"2,080","4,252",0,0,3,"1,550",530,2003,20442 137th Ave SE,Kent,WA 98042
20147 Se 152Nd St,Renton,WA,98059,"$270,000",3,1  ,3 bd | 1. ba,"1,500",$180,0,No,No,None,Good,57,0,57,1,6/5/2014,1.00,"1,500","13,500",0,0,4,"1,500",0,1968,20147 SE 152nd St,Renton,WA 98059
17620 Se 121St Pl,Renton,WA,98059,"$270,000",3,1  ,3 bd | 1. ba,"1,010",$267,0,No,No,None,Average,56,2010,15,1,5/15/2014,1.00,"1,010","9,514",0,0,3,"1,010",0,1969,17620 SE 121st Pl,Renton,WA 98059
9122 23Rd Ave Ne,Seattle,WA,98115,"$270,000",2,1 1/2,2 bd | 1.5 ba,840,$321,0,No,No,None,Average,20,0,20,2,5/22/2014,1.50,840,867,0,0,3,840,0,2005,9122 23rd Ave NE,Seattle,WA 98115
1309 Sw Webster St,Seattle,WA,98106,"$270,000",3,1 3/4,3 bd | 1.75 ba,"1,300",$208,0,No,Yes,None,Good,107,1953,72,1,5/28/2014,1.75,"1,300","4,127",0,0,4,650,650,1918,1309 SW Webster St,Seattle,WA 98106
7703 S 128Th St,Seattle,WA,98178,"$270,000",4,2 1/4,4 bd | 2.25 ba,"2,600",$104,0,No,Yes,None,Average,60,1993,32,1,6/26/2014,2.25,"2,600","9,900",0,0,3,"1,600","1,000",1965,7703 S 128th St,Seattle,WA 98178
5601-5605 21St Ave Sw,Seattle,WA,98106,"$270,000",3,1 3/4,3 bd | 1.75 ba,"1,390",$194,0,No,Yes,None,Average,68,2000,25,1,5/21/2014,1.75,"1,390","10,905",0,0,3,860,530,1957,5601-5605 21st Ave SW,Seattle,WA 98106
10447 8Th Ave S,Seattle,WA,98168,"$270,000",2,1  ,2 bd | 1. ba,"2,060",$131,0,No,Yes,None,Average,63,2003,22,1,6/25/2014,1.00,"2,060","8,398",0,0,3,"1,260",800,1962,10447 8th Ave S,Seattle,WA 98168
25209 45Th Ave S,Kent,WA,98032,"$269,950",4,2 1/2,4 bd | 2.5 ba,"2,540",$106,0,No,No,None,Excellent,48,0,48,2,6/23/2014,2.50,"2,540","8,400",0,0,5,"2,540",0,1977,25209 45th Ave S,Kent,WA 98032
4295 S 137Th St,Tukwila,WA,98168,"$269,950",3,2 1/2,3 bd | 2.5 ba,"1,890",$143,0,No,Yes,None,Average,23,0,23,2,6/15/2014,2.50,"1,890","4,838",0,0,3,"1,730",160,2002,4295 S 137th St,Tukwila,WA 98168
13805 Se Fairwood Blvd,Renton,WA,98058,"$269,900",4,1 3/4,4 bd | 1.75 ba,"1,530",$176,0,No,No,None,Good,57,0,57,1.5,6/19/2014,1.75,"1,530","8,750",0,0,4,"1,530",0,1968,13805 SE Fairwood Blvd,Renton,WA 98058
23309 115Th Pl Se,Kent,WA,98031,"$269,500",3,1 3/4,3 bd | 1.75 ba,"1,840",$146,0,No,Yes,None,Good,49,1992,33,1,6/23/2014,1.75,"1,840","7,412",0,0,4,"1,240",600,1976,23309 115th Pl SE,Kent,WA 98031
680 Shelton Ave Ne,Renton,WA,98056,"$269,500",2,1 1/2,2 bd | 1.5 ba,"1,480",$182,0,No,Yes,None,Good,47,2000,25,1,6/17/2014,1.50,"1,480","7,276",0,0,4,940,540,1978,680 Shelton Ave NE,Renton,WA 98056
19827 Se Maple Valley Hwy,Maple Valley,WA,98038,"$269,188",3,1 3/4,3 bd | 1.75 ba,"1,590",$169,1,No,No,None,Good,99,1993,32,1.5,6/3/2014,1.75,"1,590","27,200",0,0,4,"1,590",0,1926,19827 SE Maple Valley Hwy,Maple Valley,WA 98038
12035-12225 61St Ave S,Seattle,WA,98178,"$269,000",3,1  ,3 bd | 1. ba,"1,690",$159,0,No,Yes,None,Average,58,2011,14,1,6/5/2014,1.00,"1,690","4,250",0,0,3,"1,020",670,1967,12035-12225 61st Ave S,Seattle,WA 98178
22027 117Th Ave Se,Kent,WA,98031,"$268,972",4,2 1/2,4 bd | 2.5 ba,"1,860",$145,0,No,Yes,None,Good,42,0,42,1,5/20/2014,2.50,"1,860","6,687",0,0,4,"1,220",640,1983,22027 117th Ave SE,Kent,WA 98031
19320 113Th Ave Se,Kent,WA,98031,"$268,972",4,2 1/2,4 bd | 2.5 ba,"1,954",$138,0,No,No,None,Average,20,0,20,2,7/2/2014,2.50,"1,954","4,805",0,0,3,"1,954",0,2005,19320 113th Ave SE,Kent,WA 98031
12625 Se 228Th Ct,Kent,WA,98031,"$268,972",4,2 1/2,4 bd | 2.5 ba,"2,380",$113,0,No,No,None,Good,28,0,28,2,5/12/2014,2.50,"2,380","7,066",0,0,4,"2,380",0,1997,12625 SE 228th Ct,Kent,WA 98031
12519 Se 236Th Pl,Kent,WA,98031,"$268,500",4,2 1/2,4 bd | 2.5 ba,"2,100",$128,0,No,No,None,Average,19,0,19,2,6/5/2014,2.50,"2,100","4,237",0,0,3,"2,100",0,2006,12519 SE 236th Pl,Kent,WA 98031
556 N 167Th St,Shoreline,WA,98133,"$268,500",2,1  ,2 bd | 1. ba,790,$340,0,No,No,None,Good,72,1983,42,1,5/20/2014,1.00,790,"8,424",0,0,4,790,0,1953,556 N 167th St,Shoreline,WA 98133
13436 Occidental Ave S,Burien,WA,98168,"$268,000",4,2  ,4 bd | 2. ba,"1,930",$139,0,No,Yes,None,Good,58,0,58,1,5/27/2014,2.00,"1,930","6,600",0,0,4,"1,030",900,1967,13436 Occidental Ave S,Burien,WA 98168
11813 Se 219Th Pl,Kent,WA,98031,"$268,000",3,2 1/2,3 bd | 2.5 ba,"1,650",$162,0,No,No,None,Average,34,0,34,2,6/26/2014,2.50,"1,650","6,684",0,0,3,"1,650",0,1991,11813 SE 219th Pl,Kent,WA 98031
3644 Manchester Way,Kent,WA,98032,"$268,000",3,1 3/4,3 bd | 1.75 ba,"1,970",$136,0,No,No,None,Good,59,0,59,1,6/3/2014,1.75,"1,970","10,270",0,0,4,"1,970",0,1966,3644 Manchester Way,Kent,WA 98032
3010 S Holden St,Seattle,WA,98108,"$268,000",2,1  ,2 bd | 1. ba,"1,380",$194,0,No,Yes,None,Average,82,2002,23,1,6/10/2014,1.00,"1,380","5,000",0,0,3,870,510,1943,3010 S Holden St,Seattle,WA 98108
16824 11Th Pl Ne,Shoreline,WA,98155,"$267,800",2,1  ,2 bd | 1. ba,700,$383,0,No,No,None,Good,76,1985,40,1,5/14/2014,1.00,700,"6,000",0,0,4,700,0,1949,16824 11th Pl NE,Shoreline,WA 98155
17904 Military Rd S,Seatac,WA,98188,"$267,500",3,1 3/4,3 bd | 1.75 ba,"1,590",$168,0,No,Yes,Good,Average,68,2000,25,1,5/29/2014,1.75,"1,590","11,914",0,2,3,"1,090",500,1957,17904 Military Rd S,SeaTac,WA 98188
2831 Sw 327Th St,Federal Way,WA,98023,"$267,345",4,2 1/4,4 bd | 2.25 ba,"2,510",$107,0,No,Yes,None,Good,53,0,53,1,5/13/2014,2.25,"2,510","8,165",0,0,4,"1,610",900,1972,2831 SW 327th St,Federal Way,WA 98023
1376 43Rd St Ne,Auburn,WA,98002,"$267,000",3,2 1/4,3 bd | 2.25 ba,"1,584",$169,0,No,No,None,Average,13,1912,113,2,6/18/2014,2.25,"1,584","2,800",0,0,3,"1,584",0,2012,1376 43rd St NE,Auburn,WA 98002
35039 41St Pl S,Federal Way,WA,98001,"$267,000",3,2 1/2,3 bd | 2.5 ba,"2,495",$107,0,No,No,None,Average,18,0,18,2,5/28/2014,2.50,"2,495","4,400",0,0,3,"2,495",0,2007,35039 41st Pl S,Federal Way,WA 98001
11520 36Th Ave Ne,Seattle,WA,98125,"$267,000",3,1  ,3 bd | 1. ba,"1,400",$191,0,No,No,None,Average,81,0,81,1.5,7/8/2014,1.00,"1,400","8,100",0,0,3,"1,400",0,1944,11520 36th Ave NE,Seattle,WA 98125
4035 S 150Th St,Tukwila,WA,98188,"$267,000",3,1  ,3 bd | 1. ba,"1,740",$153,0,No,Yes,None,Good,63,0,63,1,7/3/2014,1.00,"1,740","10,875",0,0,4,"1,020",720,1962,4035 S 150th St,Tukwila,WA 98188
32740-32998 30Th Ave Sw,Federal Way,WA,98023,"$266,500",4,1 3/4,4 bd | 1.75 ba,"1,880",$142,0,No,Yes,None,Good,47,2000,25,1,5/29/2014,1.75,"1,880","7,632",0,0,4,"1,180",700,1978,32740-32998 30th Ave SW,Federal Way,WA 98023
14217 Se 144Th St,Renton,WA,98059,"$266,200",3,1 1/2,3 bd | 1.5 ba,"1,430",$186,0,No,No,None,Good,59,0,59,1,5/28/2014,1.50,"1,430","9,600",0,0,4,"1,430",0,1966,14217 SE 144th St,Renton,WA 98059
7127 29Th Ave Sw,Seattle,WA,98126,"$266,067",4,1  ,4 bd | 1. ba,"1,310",$203,0,No,Yes,None,Average,80,2010,15,1.5,5/21/2014,1.00,"1,310","5,200",0,0,3,"1,160",150,1945,7127 29th Ave SW,Seattle,WA 98126
33724 27Th Pl Sw,Federal Way,WA,98023,"$266,000",4,2 1/4,4 bd | 2.25 ba,"1,995",$133,0,No,No,None,Good,44,0,44,2,7/7/2014,2.25,"1,995","7,102",0,0,4,"1,995",0,1981,33724 27th Pl SW,Federal Way,WA 98023
26205 119Th Dr Se,Kent,WA,98030,"$266,000",3,2 1/2,3 bd | 2.5 ba,"1,780",$149,0,No,Yes,None,Good,39,0,39,1,5/14/2014,2.50,"1,780","7,214",0,0,4,"1,400",380,1986,26205 119th Dr SE,Kent,WA 98030
8540 S 123Rd Pl,Seattle,WA,98178,"$265,950",3,1 1/2,3 bd | 1.5 ba,"1,150",$231,0,No,No,None,Good,74,1999,26,1,6/25/2014,1.50,"1,150","8,450",0,0,4,"1,150",0,1951,8540 S 123rd Pl,Seattle,WA 98178
5257 23Rd Ave Sw,Seattle,WA,98106,"$265,050",2,1 1/2,2 bd | 1.5 ba,800,$331,0,No,No,None,Average,17,0,17,2,7/2/2014,1.50,800,"2,119",0,0,3,800,0,2008,5257 23rd Ave SW,Seattle,WA 98106
1310 22Nd St Se,Auburn,WA,98002,"$265,000",4,1 3/4,4 bd | 1.75 ba,"1,900",$139,0,No,No,None,Excellent,67,0,67,1,6/13/2014,1.75,"1,900","10,588",0,0,5,"1,900",0,1958,1310 22nd St SE,Auburn,WA 98002
11549 Se 319Th Pl,Auburn,WA,98092,"$265,000",3,2  ,3 bd | 2. ba,"1,570",$169,0,No,No,None,Average,27,2006,19,1,5/14/2014,2.00,"1,570","5,706",0,0,3,"1,570",0,1998,11549 SE 319th Pl,Auburn,WA 98092
29140 43Rd Ave S,Auburn,WA,98001,"$265,000",4,1 1/2,4 bd | 1.5 ba,"2,050",$129,0,No,Yes,None,Average,62,2008,17,1,6/18/2014,1.50,"2,050","7,100",0,0,3,"1,050","1,000",1963,29140 43rd Ave S,Auburn,WA 98001
32823 Ne 195Th St,Duvall,WA,98019,"$265,000",2,1  ,2 bd | 1. ba,"1,000",$265,1,No,No,None,Average,65,2012,13,1,6/9/2014,1.00,"1,000","31,505",0,0,3,"1,000",0,1960,32823 NE 195th St,Duvall,WA 98019
2714 Sw 323Rd St,Federal Way,WA,98023,"$265,000",3,1 3/4,3 bd | 1.75 ba,"1,840",$144,0,No,No,None,Average,59,1963,62,1,6/19/2014,1.75,"1,840","7,300",0,0,3,"1,840",0,1966,2714 SW 323rd St,Federal Way,WA 98023
11009 Se 220Th Pl,Kent,WA,98031,"$265,000",3,2 1/2,3 bd | 2.5 ba,"1,440",$184,0,No,Yes,None,Good,42,0,42,1,5/27/2014,2.50,"1,440","7,741",0,0,4,"1,000",440,1983,11009 SE 220th Pl,Kent,WA 98031
9908 S 210Th Pl,Kent,WA,98031,"$265,000",4,1  ,4 bd | 1. ba,"1,940",$137,0,No,Yes,None,Average,63,2003,22,1,5/10/2014,1.00,"1,940","9,533",0,0,3,"1,080",860,1962,9908 S 210th Pl,Kent,WA 98031
22923 Se 282Nd St,Maple Valley,WA,98038,"$265,000",3,2 1/2,3 bd | 2.5 ba,"1,530",$173,0,No,No,None,Good,34,0,34,2,7/10/2014,2.50,"1,530","6,000",0,0,4,"1,530",0,1991,22923 SE 282nd St,Maple Valley,WA 98038
23549 Ne 111Th St,Redmond,WA,98053,"$265,000",2,1  ,2 bd | 1. ba,"1,290",$205,0,No,No,None,Average,17,0,17,2,5/12/2014,1.00,"1,290","2,828",0,0,3,"1,290",0,2008,23549 NE 111th St,Redmond,WA 98053
3704 Ne 9Th Ct,Renton,WA,98056,"$265,000",3,1  ,3 bd | 1. ba,"1,020",$260,0,No,No,None,Excellent,66,0,66,1,7/3/2014,1.00,"1,020","8,610",0,0,5,"1,020",0,1959,3704 NE 9th Ct,Renton,WA 98056
600 Jefferson Ave Ne,Renton,WA,98056,"$265,000",3,1  ,3 bd | 1. ba,"1,800",$147,0,No,No,None,Excellent,68,0,68,1,6/29/2014,1.00,"1,800","7,650",0,0,5,"1,800",0,1957,600 Jefferson Ave NE,Renton,WA 98056
16206 Se 134Th St,Renton,WA,98059,"$265,000",3,1  ,3 bd | 1. ba,"1,000",$265,0,No,No,None,Average,56,2010,15,1,6/16/2014,1.00,"1,000","9,150",0,0,3,"1,000",0,1969,16206 SE 134th St,Renton,WA 98059
10005 16Th Ave S,Seattle,WA,98168,"$265,000",3,1  ,3 bd | 1. ba,"1,620",$164,0,No,No,None,Average,97,1954,71,1.5,6/23/2014,1.00,"1,620","9,450",0,0,3,"1,620",0,1928,10005 16th Ave S,Seattle,WA 98168
11263-11611 Beacon Ave S,Seattle,WA,98178,"$265,000",2,2  ,2 bd | 2. ba,"1,860",$142,0,No,Yes,None,Average,73,2008,17,1,6/30/2014,2.00,"1,860","10,856",0,0,3,"1,260",600,1952,11263-11611 Beacon Ave S,Seattle,WA 98178
15022 25Th Ave Ne,Shoreline,WA,98155,"$265,000",4,3  ,4 bd | 3. ba,"1,940",$137,0,No,No,None,Good,77,0,77,1,7/2/2014,3.00,"1,940","8,170",0,0,4,"1,940",0,1948,15022 25th Ave NE,Shoreline,WA 98155
26418 199Th Pl Se,Covington,WA,98042,"$264,950",4,1 3/4,4 bd | 1.75 ba,"1,770",$150,0,No,Yes,None,Excellent,42,0,42,1,6/18/2014,1.75,"1,770","9,011",0,0,5,"1,050",720,1983,26418 199th Pl SE,Covington,WA 98042
34434 30Th Ave Sw,Federal Way,WA,98023,"$264,950",4,2 1/4,4 bd | 2.25 ba,"1,720",$154,0,No,Yes,None,Good,47,2000,25,1,5/29/2014,2.25,"1,720","9,753",0,0,4,"1,120",600,1978,34434 30th Ave SW,Federal Way,WA 98023
2152 Sw 323Rd St,Federal Way,WA,98023,"$264,500",4,2 1/4,4 bd | 2.25 ba,"2,060",$128,0,No,Yes,None,Good,63,0,63,1,7/3/2014,2.25,"2,060","11,385",0,0,4,"1,200",860,1962,2152 SW 323rd St,Federal Way,WA 98023
9812 S 239Th Pl,Kent,WA,98031,"$264,270",3,2 1/2,3 bd | 2.5 ba,"1,630",$162,0,No,Yes,None,Average,47,0,47,1,6/26/2014,2.50,"1,630","7,700",0,0,3,"1,120",510,1978,9812 S 239th Pl,Kent,WA 98031
2712 Sw 322Nd Pl,Federal Way,WA,98023,"$264,000",3,1 3/4,3 bd | 1.75 ba,"1,760",$150,0,No,No,None,Good,59,0,59,1,6/23/2014,1.75,"1,760","7,482",0,0,4,"1,760",0,1966,2712 SW 322nd Pl,Federal Way,WA 98023
12632 Se 214Th St,Kent,WA,98031,"$264,000",4,1 3/4,4 bd | 1.75 ba,"1,820",$145,0,No,Yes,None,Good,45,0,45,1,6/18/2014,1.75,"1,820","8,118",0,0,4,"1,080",740,1980,12632 SE 214th St,Kent,WA 98031
14435 Se 263Rd St,Kent,WA,98042,"$264,000",3,1 1/2,3 bd | 1.5 ba,"1,470",$180,0,No,No,None,Good,67,1972,53,1,5/29/2014,1.50,"1,470","14,821",0,0,4,"1,470",0,1958,14435 SE 263rd St,Kent,WA 98042
2150 S 262Nd Ct,Des Moines,WA,98198,"$263,900",3,2 1/2,3 bd | 2.5 ba,"1,658",$159,0,No,No,None,Average,11,0,11,2,5/27/2014,2.50,"1,658","2,700",0,0,3,"1,658",0,2014,2150 S 262nd Ct,Des Moines,WA 98198
36656 55Th Pl S,Auburn,WA,98001,"$263,400",4,2  ,4 bd | 2. ba,"1,360",$194,1,No,Yes,None,Average,65,2012,13,1,6/30/2014,2.00,"1,360","60,548",0,0,3,960,400,1960,36656 55th Pl S,Auburn,WA 98001
35219 26Th Ct S,Federal Way,WA,98003,"$263,000",3,2 1/4,3 bd | 2.25 ba,"1,590",$165,0,No,No,None,Good,34,0,34,2,5/15/2014,2.25,"1,590","7,748",0,0,4,"1,590",0,1991,35219 26th Ct S,Federal Way,WA 98003
9226 S 239Th Pl,Kent,WA,98031,"$263,000",3,1 3/4,3 bd | 1.75 ba,"1,570",$168,0,No,No,None,Average,43,0,43,2,5/20/2014,1.75,"1,570","7,775",0,0,3,"1,570",0,1982,9226 S 239th Pl,Kent,WA 98031
22036 Se 268Th St,Maple Valley,WA,98038,"$263,000",3,1 3/4,3 bd | 1.75 ba,"1,410",$187,0,No,No,None,Average,40,0,40,2,6/30/2014,1.75,"1,410","8,100",0,0,3,"1,410",0,1985,22036 SE 268th St,Maple Valley,WA 98038
27621 221St Ave Se,Maple Valley,WA,98038,"$263,000",3,1 3/4,3 bd | 1.75 ba,"1,580",$166,0,No,Yes,None,Average,32,0,32,1,7/10/2014,1.75,"1,580","9,187",0,0,3,"1,180",400,1993,27621 221st Ave SE,Maple Valley,WA 98038
7327 33Rd Ave S,Seattle,WA,98118,"$262,500",3,1 1/2,3 bd | 1.5 ba,"1,160",$226,0,No,No,None,Average,63,2003,22,1,6/11/2014,1.50,"1,160","8,906",0,0,3,"1,160",0,1962,7327 33rd Ave S,Seattle,WA 98118
903 S 101St St,Seattle,WA,98168,"$262,000",5,1  ,5 bd | 1. ba,"1,870",$140,0,No,Yes,None,Average,63,2003,22,1,7/2/2014,1.00,"1,870","7,800",0,0,3,"1,580",290,1962,903 S 101st St,Seattle,WA 98168
157 Sw 313Th St,Federal Way,WA,98023,"$261,350",3,1 3/4,3 bd | 1.75 ba,"1,390",$188,0,No,No,None,Good,63,0,63,1,6/23/2014,1.75,"1,390","18,200",0,0,4,"1,390",0,1962,157 SW 313th St,Federal Way,WA 98023
20609 Se 271St St,Covington,WA,98042,"$261,000",3,1 1/2,3 bd | 1.5 ba,"1,810",$144,1,No,Yes,None,Average,42,2009,16,1,6/4/2014,1.50,"1,810","29,308",0,0,3,950,860,1983,20609 SE 271st St,Covington,WA 98042
14710 57Th Ave S,Tukwila,WA,98168,"$260,000",3,1 3/4,3 bd | 1.75 ba,"1,440",$181,0,No,Yes,Good,Average,67,2004,21,1,6/17/2014,1.75,"1,440","12,888",0,2,3,"1,090",350,1958,14710 57th Ave S,Tukwila,WA 98168
142 11Th St Se,Auburn,WA,98002,"$260,000",6,2  ,6 bd | 2. ba,"2,220",$117,0,No,No,None,Average,48,2004,21,1,5/21/2014,2.00,"2,220","8,797",0,0,3,"2,220",0,1977,142 11th St SE,Auburn,WA 98002
16241 19Th Ave Sw,Burien,WA,98166,"$260,000",3,1 3/4,3 bd | 1.75 ba,"1,050",$248,0,No,No,None,Average,45,0,45,1,5/30/2014,1.75,"1,050","5,850",0,0,3,"1,050",0,1980,16241 19th Ave SW,Burien,WA 98166
19307 4Th Ave S,Des Moines,WA,98148,"$260,000",3,1 1/2,3 bd | 1.5 ba,"1,580",$165,0,No,Yes,None,Average,71,2005,20,1,6/25/2014,1.50,"1,580","8,184",0,0,3,"1,140",440,1954,19307 4th Ave S,Des Moines,WA 98148
32819 17Th Ave Sw,Federal Way,WA,98023,"$260,000",4,2 1/2,4 bd | 2.5 ba,"1,990",$131,0,No,No,None,Average,36,0,36,2,5/20/2014,2.50,"1,990","6,671",0,0,3,"1,990",0,1989,32819 17th Ave SW,Federal Way,WA 98023
23109 125Th Ave Se,Kent,WA,98031,"$260,000",4,2  ,4 bd | 2. ba,"1,620",$160,0,No,No,None,Good,50,0,50,2,7/2/2014,2.00,"1,620","7,992",0,0,4,"1,620",0,1975,23109 125th Ave SE,Kent,WA 98031
29204 202Nd Ave Se,Kent,WA,98042,"$260,000",4,2 1/2,4 bd | 2.5 ba,"2,000",$130,1,No,No,None,Average,36,0,36,2,6/23/2014,2.50,"2,000","37,045",0,0,3,"2,000",0,1989,29204 202nd Ave SE,Kent,WA 98042
10904 Se 212Th St,Kent,WA,98031,"$260,000",3,2 1/4,3 bd | 2.25 ba,"1,920",$135,0,No,Yes,None,Good,64,2001,24,1,7/1/2014,2.25,"1,920","9,680",0,0,4,"1,300",620,1961,10904 SE 212th St,Kent,WA 98031
3029 Ne 178Th St,Lake Forest Park,WA,98155,"$260,000",3,1 1/2,3 bd | 1.5 ba,"1,270",$205,0,No,Yes,None,Fair,77,0,77,1,6/17/2014,1.50,"1,270","20,700",0,0,2,"1,150",120,1948,3029 NE 178th St,Lake Forest Park,WA 98155
311 Dereks Pl,Pacific,WA,98047,"$260,000",3,2  ,3 bd | 2. ba,"1,630",$160,0,No,No,None,Average,22,0,22,1,5/27/2014,2.00,"1,630","8,018",0,0,3,"1,630",0,2003,311 Dereks Pl,Pacific,WA 98047
122 Greenlake Pl,Pacific,WA,98047,"$260,000",5,2 1/2,5 bd | 2.5 ba,"2,025",$128,0,No,No,None,Average,18,0,18,2,6/25/2014,2.50,"2,025","7,760",0,0,3,"2,025",0,2007,122 Greenlake Pl,Pacific,WA 98047
16603 113Th Ave Se,Renton,WA,98055,"$260,000",4,2 1/2,4 bd | 2.5 ba,"1,811",$144,0,No,No,None,Average,18,0,18,2,6/8/2014,2.50,"1,811","4,381",0,0,3,"1,811",0,2007,16603 113th Ave SE,Renton,WA 98055
1518 25Th Ave,Seattle,WA,98122,"$260,000",2,1  ,2 bd | 1. ba,700,$371,0,No,No,None,Average,103,2008,17,1,6/27/2014,1.00,700,"4,800",0,0,3,700,0,1922,1518 25th Ave,Seattle,WA 98122
834 Ne 189Th St,Shoreline,WA,98155,"$260,000",2,1  ,2 bd | 1. ba,770,$338,0,No,No,None,Good,77,0,77,1,7/1/2014,1.00,770,"7,906",0,0,4,770,0,1948,834 NE 189th St,Shoreline,WA 98155
14218 Ne 67Th Ct,Redmond,WA,98052,"$259,950",4,2  ,4 bd | 2. ba,"2,030",$128,0,No,No,None,Good,49,1992,33,1,6/9/2014,2.00,"2,030","9,300",0,0,4,"2,030",0,1976,14218 NE 67th Ct,Redmond,WA 98052
24330 130Th Ave Se,Kent,WA,98030,"$259,586",4,2 1/2,4 bd | 2.5 ba,"1,960",$132,0,No,No,None,Average,24,0,24,2,5/23/2014,2.50,"1,960","9,898",0,0,3,"1,960",0,2001,24330 130th Ave SE,Kent,WA 98030
4104 S 179Th St,Seatac,WA,98188,"$259,500",3,1 3/4,3 bd | 1.75 ba,"1,650",$157,0,No,No,None,Average,68,2000,25,1,6/27/2014,1.75,"1,650","12,349",0,0,3,"1,650",0,1957,4104 S 179th St,SeaTac,WA 98188
1506 51St St Ne,Auburn,WA,98002,"$259,000",3,2 1/2,3 bd | 2.5 ba,"1,550",$167,0,No,No,None,Average,14,0,14,2,5/22/2014,2.50,"1,550","3,569",0,0,3,"1,550",0,2011,1506 51st St NE,Auburn,WA 98002
25923 13Th Ave S,Des Moines,WA,98198,"$259,000",4,1 1/2,4 bd | 1.5 ba,"1,490",$174,0,No,No,None,Average,59,1963,62,2,6/12/2014,1.50,"1,490","7,560",0,0,3,"1,490",0,1966,25923 13th Ave S,Des Moines,WA 98198
11834 Se 263Rd Ct,Kent,WA,98030,"$259,000",3,2  ,3 bd | 2. ba,"1,870",$139,0,No,Yes,None,Average,39,0,39,1,6/17/2014,2.00,"1,870","5,909",0,0,3,"1,270",600,1986,11834 SE 263rd Ct,Kent,WA 98030
2931 Ne 5Th Pl,Renton,WA,98056,"$259,000",3,1  ,3 bd | 1. ba,"1,320",$196,0,No,No,None,Good,68,2001,24,1,5/20/2014,1.00,"1,320","8,625",0,0,4,"1,320",0,1957,2931 NE 5th Pl,Renton,WA 98056
